Datum;Superzahl;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
15.09.2018;1;   Jackpot;7.059.039,80;4;417.497,90;46;18.152,00;586;4.274,70;3.501;238,5;35.453;47,1;66.061;25,2;693.273;10,8;509.415;5;27;39;26;1;12;14
19.09.2018;0;   Jackpot;8.471.921,90;6;139.684,60;61;6.869,70;746;1.685,20;2.666;157,1;31.139;26,9;39.203;21,3;463.209;8,1;248.836;5;5;8;3;47;30;19
22.09.2018;0;   Jackpot;11.332.454,60;3;576.949,80;90;9.615,80;1.168;2.222,80;4.777;181,1;58.829;29,4;70.668;24,4;897.861;8,6;435.777;5;17;37;41;33;42;47
26.09.2018;3;   Jackpot;12.811.787,20;2;422.926,10;55;7.689,50;400;3.171,90;2.251;187,8;19.508;43,3;41.455;20,4;355.081;10,7;323.886;5;18;36;44;10;38;25
29.09.2018;7;   Jackpot;15.804.331,90;2;806.018,30;151;5.337,80;1.006;2.403,60;7.412;108,7;53.953;29,8;125.662;12,8;923.780;7,8;853.269;5;9;5;19;4;16;45
03.10.2018;9;1;17.317.485,70;3;288.483,00;92;4.703,50;546;2.377,60;3.020;143,2;23.919;36,1;48.426;17,8;428.952;9;330.774;5;33;39;9;30;29;3
06.10.2018;3;   Jackpot;2.767.502,00;   Jackpot;1.600.435,70;41;19.517,50;380;6.317,50;3.030;264;27.545;58,1;67.199;23,8;588.183;12,2;569.850;5;21;27;45;2;33;26
10.10.2018;0;   Jackpot;4.130.151,70;1;2.425.241,30;23;17.930,50;274;4.515,30;1.358;303,6;14.304;57,6;25.526;32,3;289.132;12,8;206.999;5;37;14;32;18;1;45
13.10.2018;7;3;2.310.837,50;10;148.135,40;302;2.452,50;1.669;1.331,30;12.199;60,7;77.355;19,1;151.438;9,7;1.027.961;6,4;855.508;5;3;36;7;9;27;11
17.10.2018;2;   Jackpot;1.283.047,60;4;188.730,80;47;8.031,00;426;2.658,10;1.729;218,3;18.048;41,8;31.575;23,9;323.927;10,4;238.306;5;7;35;20;36;9;24
20.10.2018;7;1;5.548.628,80;        --;           --;97;7.929,00;899;2.566,50;4.751;161,8;36.045;42,6;84.146;18,2;632.489;10,9;639.564;5;47;2;16;32;45;13
24.10.2018;7;   Jackpot;1.261.300,40;3;233.126,90;92;3.800,90;604;1.736,80;3.229;108,2;23.462;29,8;46.688;14,9;346.753;9;319.760;5;41;24;37;32;5;13
27.10.2018;2;   Jackpot;3.979.999,70;1;1.620.398,40;33;24.551,40;403;6.031,20;2.607;310,7;27.581;58,7;56.964;28,4;571.119;12,7;463.431;5;30;35;47;40;8;38
31.10.2018;5;1;5.342.655,70;1;761.377,90;29;13.127,20;296;3.858,30;2.378;160;17.933;42,4;44.096;17,2;339.854;10;333.863;5;4;40;13;22;16;6
03.11.2018;1;   Jackpot;2.737.541,10;2;812.202,10;61;13.314,70;588;4.143,80;3.017;269,2;32.383;50,1;60.161;27;632.023;11,5;481.091;5;49;18;20;6;28;42
07.11.2018;4;2;2.035.118,60;1;779.348,20;26;14.987,40;222;5.265,80;1.608;242,3;14.481;53,8;32.550;23,9;289.007;12,1;257.102;5;42;41;15;37;4;31
10.11.2018;7;   Jackpot;2.727.717,70;3;513.205,00;56;13.746,50;473;4.882,50;3.769;204,2;28.461;54;76.104;20,2;563.804;12,2;637.285;5;3;13;14;40;29;41
